DATE,BOUT,FIGHTER,prob_norm,odds
2024-03-02,Christian Leroy Duncan vs Claudio Ribeiro,Christian Leroy Duncan,0.7491182594654315,-361.25
2024-03-02,Christian Leroy Duncan vs Claudio Ribeiro,Claudio Ribeiro,0.2508817405345684,281.25
2024-03-02,Eryk Anders vs Jamie Pickett,Eryk Anders,0.8094307804307158,-546.25
2024-03-02,Eryk Anders vs Jamie Pickett,Jamie Pickett,0.190569219569284,402.5
2024-03-02,Jairzinho Rozenstruik vs Shamil Gaziev,Jairzinho Rozenstruik,0.3730623271370682,156.5
2024-03-02,Jairzinho Rozenstruik vs Shamil Gaziev,Shamil Gaziev,0.6269376728629318,-190.0
2024-03-02,Matt Schnell vs Steve Erceg,Matt Schnell,0.2134795227346017,350.0
2024-03-02,Matt Schnell vs Steve Erceg,Steve Erceg,0.7865204772653983,-451.6666666666667
2024-03-02,Tyson Pedro vs Vitor Petrino,Tyson Pedro,0.243010667406908,293.75
2024-03-02,Tyson Pedro vs Vitor Petrino,Vitor Petrino,0.7569893325930921,-378.75
2024-03-09,Asu Almabayev vs CJ Vergara,Asu Almabayev,0.8181758292433875,-590.0
2024-03-09,Asu Almabayev vs CJ Vergara,CJ Vergara,0.1818241707566125,426.25
2024-03-09,Benoit Saint Denis vs Dustin Poirier,Benoit Saint Denis,0.649513357897475,-210.75
2024-03-09,Benoit Saint Denis vs Dustin Poirier,Dustin Poirier,0.3504866421025251,173.25
2024-03-09,Curtis Blaydes vs Jailton Almeida,Curtis Blaydes,0.4792122538293216,100.0
2024-03-09,Curtis Blaydes vs Jailton Almeida,Jailton Almeida,0.5207877461706784,-119.0
2024-03-09,Gilbert Burns vs Jack Della Maddalena,Gilbert Burns,0.4067440410931682,135.75
2024-03-09,Gilbert Burns vs Jack Della Maddalena,Jack Della Maddalena,0.5932559589068317,-162.25
2024-03-09,Ion Cutelaba vs Philipe Lins,Ion Cutelaba,0.5299091367995962,-123.5
2024-03-09,Ion Cutelaba vs Philipe Lins,Philipe Lins,0.4700908632004038,104.0
2024-03-09,Joanne Wood vs Maryna Moroz,Joanne Wood,0.323153677526646,196.0
2024-03-09,Joanne Wood vs Maryna Moroz,Maryna Moroz,0.676846322473354,-242.0
2024-03-09,Josh Parisian vs Robelis Despaigne,Josh Parisian,0.2496258605208021,283.3333333333333
2024-03-09,Josh Parisian vs Robelis Despaigne,Robelis Despaigne,0.7503741394791978,-363.3333333333333
2024-03-09,Kevin Holland vs Michael Page,Kevin Holland,0.5424479037151241,-130.0
2024-03-09,Kevin Holland vs Michael Page,Michael Page,0.457552096284876,109.75
2024-03-09,Kyler Phillips vs Pedro Munhoz,Kyler Phillips,0.6605131930913775,-221.25
2024-03-09,Kyler Phillips vs Pedro Munhoz,Pedro Munhoz,0.3394868069086226,182.5
2024-03-09,Marlon Vera vs Sean O'Malley,Marlon Vera,0.3065847977980097,212.5
2024-03-09,Marlon Vera vs Sean O'Malley,Sean O'Malley,0.6934152022019903,-262.0
2024-03-09,Mateusz Gamrot vs Rafael Dos Anjos,Mateusz Gamrot,0.7792298420351456,-443.75
2024-03-09,Mateusz Gamrot vs Rafael Dos Anjos,Rafael Dos Anjos,0.2207701579648543,332.5
2024-03-09,Michal Oleksiejczuk vs Michel Pereira,Michal Oleksiejczuk,0.430595890560517,122.5
2024-03-09,Michal Oleksiejczuk vs Michel Pereira,Michel Pereira,0.5694041094394828,-146.5
2024-03-09,Petr Yan vs Song Yadong,Petr Yan,0.540338204812664,-129.25
2024-03-09,Petr Yan vs Song Yadong,Song Yadong,0.459661795187336,108.5
2024-03-16,Bryan Barberena vs Gerald Meerschaert,Bryan Barberena,0.3219043231422364,197.25
2024-03-16,Bryan Barberena vs Gerald Meerschaert,Gerald Meerschaert,0.6780956768577637,-243.25
2024-03-16,Chad Anheliger vs Charalampos Grigoriou,Chad Anheliger,0.4009395262049986,138.75
2024-03-16,Chad Anheliger vs Charalampos Grigoriou,Charalampos Grigoriou,0.5990604737950014,-167.25
2024-03-16,Chelsea Chandler vs Josiane Nunes,Chelsea Chandler,0.4355473657760281,119.75
2024-03-16,Chelsea Chandler vs Josiane Nunes,Josiane Nunes,0.5644526342239718,-143.75
2024-03-16,Christian Rodriguez vs Isaac Dulgarian,Christian Rodriguez,0.3627791069035221,164.25
2024-03-16,Christian Rodriguez vs Isaac Dulgarian,Isaac Dulgarian,0.6372208930964778,-198.25
2024-03-16,Cory McKenna vs Jaqueline Amorim,Cory McKenna,0.6028961762685464,-170.25
2024-03-16,Cory McKenna vs Jaqueline Amorim,Jaqueline Amorim,0.3971038237314535,141.0
2024-03-16,Danny Silva vs Josh Culibao,Danny Silva,0.3739454479581802,156.0
2024-03-16,Danny Silva vs Josh Culibao,Josh Culibao,0.6260545520418198,-189.0
2024-03-16,Jafel Filho vs Ode Osbourne,Jafel Filho,0.5916879044853883,-161.75
2024-03-16,Jafel Filho vs Ode Osbourne,Ode Osbourne,0.4083120955146117,134.5
2024-03-16,Kennedy Nzechukwu vs Ovince Saint Preux,Kennedy Nzechukwu,0.7560975609756099,-387.5
2024-03-16,Kennedy Nzechukwu vs Ovince Saint Preux,Ovince Saint Preux,0.2439024390243902,290.0
2024-03-16,Macy Chiasson vs Pannie Kianzad,Macy Chiasson,0.678409589241339,-243.75
2024-03-16,Macy Chiasson vs Pannie Kianzad,Pannie Kianzad,0.321590410758661,197.5
2024-03-16,Marcin Tybura vs Tai Tuivasa,Marcin Tybura,0.4950948733251036,-107.25
2024-03-16,Marcin Tybura vs Tai Tuivasa,Tai Tuivasa,0.5049051266748964,-111.75
2024-03-16,Mike Davis vs Natan Levy,Mike Davis,0.6955128205128205,-280.0
2024-03-16,Mike Davis vs Natan Levy,Natan Levy,0.3044871794871794,210.0
2024-03-16,Mitch Ramirez vs Thiago Moises,Mitch Ramirez,0.2355647208121827,306.6666666666667
2024-03-16,Mitch Ramirez vs Thiago Moises,Thiago Moises,0.7644352791878172,-395.0
2024-03-23,AJ Dobson vs Edmen Shahbazyan,AJ Dobson,0.3657512891233961,158.0
2024-03-23,AJ Dobson vs Edmen Shahbazyan,Edmen Shahbazyan,0.634248710876604,-205.0
2024-03-23,Amanda Ribas vs Rose Namajunas,Amanda Ribas,0.3604809614426442,166.0
2024-03-23,Amanda Ribas vs Rose Namajunas,Rose Namajunas,0.6395190385573558,-200.25
2024-03-23,Billy Quarantillo vs Youssef Zalal,Billy Quarantillo,0.4923674110258199,-106.0
2024-03-23,Billy Quarantillo vs Youssef Zalal,Youssef Zalal,0.50763258897418,-113.0
2024-03-23,Cameron Saaiman vs Payton Talbott,Cameron Saaiman,0.5238589211618258,-125.0
2024-03-23,Cameron Saaiman vs Payton Talbott,Payton Talbott,0.4761410788381742,-102.0
2024-03-23,Cody Gibson vs Miles Johns,Cody Gibson,0.4430309427254041,116.0
2024-03-23,Cody Gibson vs Miles Johns,Miles Johns,0.5569690572745958,-139.25
2024-03-23,Daria Zhelezniakova vs Montse Rendon,Daria Zhelezniakova,0.5667244367417678,-150.0
2024-03-23,Daria Zhelezniakova vs Montse Rendon,Montse Rendon,0.4332755632582322,118.0
2024-03-23,Fernando Padilla vs Luis Pajuelo,Fernando Padilla,0.6122689434066491,-177.25
2024-03-23,Fernando Padilla vs Luis Pajuelo,Luis Pajuelo,0.3877310565933508,147.0
2024-03-23,Jarno Errens vs Steven Nguyen,Jarno Errens,0.3657512891233961,158.0
2024-03-23,Jarno Errens vs Steven Nguyen,Steven Nguyen,0.634248710876604,-205.0
2024-03-23,Julian Erosa vs Ricardo Ramos,Julian Erosa,0.3895444024163044,145.75
2024-03-23,Julian Erosa vs Ricardo Ramos,Ricardo Ramos,0.6104555975836955,-176.0
2024-03-23,Justin Tafa vs Karl Williams,Justin Tafa,0.3821604260682197,150.5
2024-03-23,Justin Tafa vs Karl Williams,Karl Williams,0.6178395739317804,-182.0
2024-03-23,Kurt Holobaugh vs Trey Ogden,Kurt Holobaugh,0.4332755632582322,118.0
2024-03-23,Kurt Holobaugh vs Trey Ogden,Trey Ogden,0.5667244367417678,-150.0
2024-03-23,Mick Parkin vs Mohammed Usman,Mick Parkin,0.596726366979006,-172.0
2024-03-23,Mick Parkin vs Mohammed Usman,Mohammed Usman,0.4032736330209939,134.0
2024-03-30,Andre Petroski vs Jacob Malkoun,Andre Petroski,0.3278568195441811,192.25
2024-03-30,Andre Petroski vs Jacob Malkoun,Jacob Malkoun,0.6721431804558189,-235.0
2024-03-30,Angel Pacheco vs Caolan Loughran,Angel Pacheco,0.2310419764382934,315.0
2024-03-30,Angel Pacheco vs Caolan Loughran,Caolan Loughran,0.7689580235617064,-405.0
2024-03-30,Anton Turkalj vs Ibo Aslan,Anton Turkalj,0.4639707310093918,106.5
2024-03-30,Anton Turkalj vs Ibo Aslan,Ibo Aslan,0.5360292689906081,-127.0
2024-03-30,Bill Algeo vs Kyle Nelson,Bill Algeo,0.6811926605504588,-247.5
2024-03-30,Bill Algeo vs Kyle Nelson,Kyle Nelson,0.3188073394495412,200.0
2024-03-30,Bruno Silva vs Chris Weidman,Bruno Silva,0.6650345209071725,-227.0
2024-03-30,Bruno Silva vs Chris Weidman,Chris Weidman,0.3349654790928274,186.0
2024-03-30,Chidi Njokuani vs Rhys McKee,Chidi Njokuani,0.5630832299476779,-143.0
2024-03-30,Chidi Njokuani vs Rhys McKee,Rhys McKee,0.4369167700523221,119.0
2024-03-30,Connor Matthews vs Dennis Buzukja,Connor Matthews,0.4787350054525627,100.0
2024-03-30,Connor Matthews vs Dennis Buzukja,Dennis Buzukja,0.5212649945474374,-119.5
2024-03-30,Erin Blanchfield vs Manon Fiorot,Erin Blanchfield,0.6288582676536074,-190.25
2024-03-30,Erin Blanchfield vs Manon Fiorot,Manon Fiorot,0.3711417323463925,158.5
2024-03-30,Herbert Burns vs Julio Arce,Herbert Burns,0.2420517965761585,295.0
2024-03-30,Herbert Burns vs Julio Arce,Julio Arce,0.7579482034238414,-382.5
2024-03-30,Jamall Emmers vs Nate Landwehr,Jamall Emmers,0.6192482177576151,-182.0
2024-03-30,Jamall Emmers vs Nate Landwehr,Nate Landwehr,0.3807517822423849,152.0
2024-03-30,Joaquin Buckley vs Vicente Luque,Joaquin Buckley,0.4923674110258199,-106.0
2024-03-30,Joaquin Buckley vs Vicente Luque,Vicente Luque,0.50763258897418,-113.0
2024-03-30,Loopy Godinez vs Virna Jandiroba,Loopy Godinez,0.6593598061828984,-220.75
2024-03-30,Loopy Godinez vs Virna Jandiroba,Virna Jandiroba,0.3406401938171017,181.25
2024-03-30,Nursulton Ruziboev vs Sedriques Dumas,Nursulton Ruziboev,0.6599817952256511,-221.66666666666663
2024-03-30,Nursulton Ruziboev vs Sedriques Dumas,Sedriques Dumas,0.3400182047743489,181.66666666666663
2024-04-06,Alex Morono vs Court McGee,Alex Morono,0.7230064454269429,-306.25
2024-04-06,Alex Morono vs Court McGee,Court McGee,0.276993554573057,246.25
2024-04-06,Alexander Hernandez vs Damon Jackson,Alexander Hernandez,0.6416109205344545,-203.5
2024-04-06,Alexander Hernandez vs Damon Jackson,Damon Jackson,0.3583890794655457,167.0
2024-04-06,Brendan Allen vs Chris Curtis,Brendan Allen,0.6514104245809901,-213.25
2024-04-06,Brendan Allen vs Chris Curtis,Chris Curtis,0.3485895754190099,174.5
2024-04-06,Cesar Almeida vs Dylan Budka,Cesar Almeida,0.4313830038168399,122.25
2024-04-06,Cesar Almeida vs Dylan Budka,Dylan Budka,0.5686169961831601,-145.75
2024-04-06,Charlie Campbell vs Trevor Peek,Charlie Campbell,0.6086206911929845,-174.25
2024-04-06,Charlie Campbell vs Trevor Peek,Trevor Peek,0.3913793088070156,144.75
2024-04-06,Chepe Mariscal vs Morgan Charriere,Chepe Mariscal,0.4782608695652174,100.0
2024-04-06,Chepe Mariscal vs Morgan Charriere,Morgan Charriere,0.5217391304347826,-120.0
2024-04-06,Christos Giagos vs Ignacio Bahamondes,Christos Giagos,0.2591283863368669,270.0
2024-04-06,Christos Giagos vs Ignacio Bahamondes,Ignacio Bahamondes,0.740871613663133,-340.0
2024-04-06,Dan Argueta vs Jean Matsumoto,Dan Argueta,0.4023718763235917,138.0
2024-04-06,Dan Argueta vs Jean Matsumoto,Jean Matsumoto,0.5976281236764084,-166.0
2024-04-06,Germaine de Randamie vs Norma Dumont,Germaine de Randamie,0.4698656026879462,104.0
2024-04-06,Germaine de Randamie vs Norma Dumont,Norma Dumont,0.5301343973120538,-123.75
2024-04-06,Lukasz Brzeski vs Valter Walker,Lukasz Brzeski,0.3289917874811259,190.75
2024-04-06,Lukasz Brzeski vs Valter Walker,Valter Walker,0.6710082125188741,-235.0
2024-04-06,Melissa Mullins vs Nora Cornolle,Melissa Mullins,0.7443770082113531,-347.5
2024-04-06,Melissa Mullins vs Nora Cornolle,Nora Cornolle,0.2556229917886469,275.0
2024-04-06,Pedro Falcao vs Victor Hugo,Pedro Falcao,0.4430309427254041,116.0
2024-04-06,Pedro Falcao vs Victor Hugo,Victor Hugo,0.5569690572745958,-139.25
