date,home_team,away_team,outcome,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,williamhill_us
2025-02-08,Kevin Jousset,Jonathan Micallef,Jonathan Micallef,200.0,200.0,195.0,,210.0,190.0,194.0,190.0
2025-02-08,Kevin Jousset,Jonathan Micallef,Kevin Jousset,-250.0,-235.0,-250.0,,-250.0,-230.0,-245.0,-230.0
2025-02-08,Marcos Degli,Lincon Santos,Lincon Santos,,,,,210.0,,,
2025-02-08,Marcos Degli,Lincon Santos,Marcos Degli,,,,,-285.0,,,
2025-02-08,Paulo Henrique Costa,Vladimir Kanunnikov,Paulo Henrique Costa,,,,,210.0,,,
2025-02-08,Paulo Henrique Costa,Vladimir Kanunnikov,Vladimir Kanunnikov,,,,,-285.0,,,
2025-02-08,Quillan Salkilld,Anshul Jubli,Anshul Jubli,500.0,500.0,480.0,,475.0,455.0,480.0,500.0
2025-02-08,Quillan Salkilld,Anshul Jubli,Quillan Salkilld,-700.0,-700.0,-670.0,,-700.0,-625.0,-650.0,-700.0
2025-02-08,Rafael Pereira,Janderson Barreto,Janderson Barreto,,,,,135.0,,,
2025-02-08,Rafael Pereira,Janderson Barreto,Rafael Pereira,,,,,-175.0,,,
2025-02-08,Rose Conceicao,Lany Silva,Lany Silva,,,,,-185.0,,,
2025-02-08,Rose Conceicao,Lany Silva,Rose Conceicao,,,,,140.0,,,
2025-02-08,Tom Nolan,Viacheslav Borshchev,Tom Nolan,-105.0,-102.0,-106.0,,102.0,100.0,-102.0,-110.0
2025-02-08,Tom Nolan,Viacheslav Borshchev,Viacheslav Borshchev,-115.0,-118.0,-118.0,,-122.0,-120.0,-120.0,-110.0
2025-02-08,Wang Cong,Bruna Brasil,Bruna Brasil,280.0,285.0,295.0,,290.0,280.0,285.0,290.0
2025-02-08,Wang Cong,Bruna Brasil,Wang Cong,-350.0,-360.0,-385.0,,-380.0,-355.0,-375.0,-370.0
2025-02-15,Angela Hill,Ketlen Souza,Angela Hill,-105.0,-103.0,-112.0,-115.0,-103.0,-102.0,-108.0,-105.0
2025-02-15,Angela Hill,Ketlen Souza,Ketlen Souza,-115.0,-117.0,-112.0,-115.0,-117.0,-118.0,-108.0,-115.0
2025-02-15,Gabriel Bonfim,Khaos Williams,Gabriel Bonfim,-210.0,-200.0,-240.0,-200.0,,-218.0,-200.0,-225.0
2025-02-15,Gabriel Bonfim,Khaos Williams,Khaos Williams,170.0,170.0,185.0,165.0,,180.0,168.0,185.0
2025-02-15,Julia Avila,Jacqueline Cavalcanti,Jacqueline Cavalcanti,-700.0,-720.0,-715.0,-700.0,-700.0,-700.0,-720.0,-700.0
2025-02-15,Julia Avila,Jacqueline Cavalcanti,Julia Avila,500.0,520.0,510.0,450.0,475.0,500.0,520.0,500.0
2025-02-15,Rafael Estevam,Jesus Santos Aguilar,Jesus Santos Aguilar,,360.0,340.0,335.0,370.0,370.0,385.0,360.0
2025-02-15,Rafael Estevam,Jesus Santos Aguilar,Rafael Estevam,,-460.0,-455.0,-460.0,-510.0,-485.0,-500.0,-480.0
2025-02-15,Valter Walker,Don'Tale Mayes,Don'Tale Mayes,240.0,250.0,195.0,220.0,200.0,240.0,220.0,240.0
2025-02-15,Valter Walker,Don'Tale Mayes,Valter Walker,-300.0,-300.0,-250.0,-275.0,-240.0,-298.0,-270.0,-300.0
2025-02-15,Vince Morales,Elijah Smith,Elijah Smith,-145.0,-141.0,-150.0,-150.0,-145.0,-142.0,-146.0,-150.0
2025-02-15,Vince Morales,Elijah Smith,Vince Morales,120.0,121.0,120.0,120.0,125.0,120.0,124.0,125.0
2025-02-22,Chico Kwasi,Teodor Hristov,Chico Kwasi,,,,,-285.0,,,
2025-02-22,Chico Kwasi,Teodor Hristov,Teodor Hristov,,,,,210.0,,,
2025-02-22,Daniel Skvor,Antonio Zovak,Antonio Zovak,,,,,1100.0,,,
2025-02-22,Daniel Skvor,Antonio Zovak,Daniel Skvor,,,,,-2800.0,,,
2025-02-22,Ferdaws Nayimi,Jacob Wiggins,Ferdaws Nayimi,,,,,-1000.0,,,
2025-02-22,Ferdaws Nayimi,Jacob Wiggins,Jacob Wiggins,,,,,550.0,,,
2025-02-22,Joe Taylor,Phillip Latu,Joe Taylor,,,,,175.0,,,
2025-02-22,Joe Taylor,Phillip Latu,Phillip Latu,,,,,-230.0,,,
