EVENT,BOUT,jfighter,FIGHTER,DATE,win,predicted_prob,odds
UFC 98: Evans vs Machida,Krzysztof Soszynski vs. Andre Gusmao,KrzysztofSoszynski,Krzysztof Soszynski,2009-05-23,1,0.770096,1.3
UFC 98: Evans vs Machida,Krzysztof Soszynski vs. Andre Gusmao,AndreGusmao,Andre Gusmao,2009-05-23,0,0.24932416,4.01
UFC 98: Evans vs Machida,Drew McFedries vs. Xavier Foupa-Pokam,DrewMcFedries,Drew McFedries,2009-05-23,1,0.60244155,1.66
UFC 98: Evans vs Machida,Drew McFedries vs. Xavier Foupa-Pokam,XavierFoupa-Pokam,Xavier Foupa-Pokam,2009-05-23,0,0.46479958,2.15
UFC 99: The Comeback,Mike Swick vs. Ben Saunders,MikeSwick,Mike Swick,2009-06-13,1,0.42560542,2.35
UFC 99: The Comeback,Mike Swick vs. Ben Saunders,BenSaunders,Ben Saunders,2009-06-13,0,0.61094,1.64
UFC 99: The Comeback,Mirko Filipovic vs. Mostapha Al-Turk,MirkoFilipovic,Mirko Filipovic,2009-06-13,1,0.7619873,1.31
UFC 99: The Comeback,Mirko Filipovic vs. Mostapha Al-Turk,MostaphaAl-Turk,Mostapha Al-Turk,2009-06-13,0,0.46567357,2.15
UFC 99: The Comeback,Dan Hardy vs. Marcus Davis,DanHardy,Dan Hardy,2009-06-13,1,0.69260854,1.44
UFC 99: The Comeback,Dan Hardy vs. Marcus Davis,MarcusDavis,Marcus Davis,2009-06-13,0,0.36017993,2.78
UFC 99: The Comeback,Paul Kelly vs. Rolando Delgado,PaulKelly,Paul Kelly,2009-06-13,1,0.5047346,1.98
UFC 99: The Comeback,Paul Kelly vs. Rolando Delgado,RolandoDelgado,Rolando Delgado,2009-06-13,0,0.56438154,1.77
UFC 99: The Comeback,Cain Velasquez vs. Cheick Kongo,CainVelasquez,Cain Velasquez,2009-06-13,1,0.5791163,1.73
UFC 99: The Comeback,Cain Velasquez vs. Cheick Kongo,CheickKongo,Cheick Kongo,2009-06-13,0,0.41503292,2.41
UFC 99: The Comeback,Stefan Struve vs. Denis Stojnic,StefanStruve,Stefan Struve,2009-06-13,1,0.8068702,1.24
UFC 99: The Comeback,Stefan Struve vs. Denis Stojnic,DenisStojnic,Denis Stojnic,2009-06-13,0,0.243346,4.11
UFC 99: The Comeback,Dennis Siver vs. Dale Hartt,DennisSiver,Dennis Siver,2009-06-13,1,0.61682844,1.62
UFC 99: The Comeback,Dennis Siver vs. Dale Hartt,DaleHartt,Dale Hartt,2009-06-13,0,0.47139257,2.12
UFC 99: The Comeback,Spencer Fisher vs. Caol Uno,SpencerFisher,Spencer Fisher,2009-06-13,1,0.5779297,1.73
UFC 99: The Comeback,Spencer Fisher vs. Caol Uno,CaolUno,Caol Uno,2009-06-13,0,0.4263683,2.35
UFC 99: The Comeback,Rich Franklin vs. Wanderlei Silva,RichFranklin,Rich Franklin,2009-06-13,1,0.60198706,1.66
UFC 99: The Comeback,Rich Franklin vs. Wanderlei Silva,WanderleiSilva,Wanderlei Silva,2009-06-13,0,0.31810397,3.14
UFC 99: The Comeback,Terry Etim vs. Justin Buchholz,TerryEtim,Terry Etim,2009-06-13,1,0.715565,1.4
UFC 99: The Comeback,Terry Etim vs. Justin Buchholz,JustinBuchholz,Justin Buchholz,2009-06-13,0,0.2522025,3.97
The Ultimate Fighter: United States vs. United Kingdom Finale,Melvin Guillard vs. Gleison Tibau,MelvinGuillard,Melvin Guillard,2009-06-20,1,0.7722027,1.29
The Ultimate Fighter: United States vs. United Kingdom Finale,Melvin Guillard vs. Gleison Tibau,GleisonTibau,Gleison Tibau,2009-06-20,0,0.34432754,2.9
The Ultimate Fighter: United States vs. United Kingdom Finale,Tomasz Drwal vs. Mike Ciesnolevicz,TomaszDrwal,Tomasz Drwal,2009-06-20,1,0.8058159,1.24
The Ultimate Fighter: United States vs. United Kingdom Finale,Tomasz Drwal vs. Mike Ciesnolevicz,MikeCiesnolevicz,Mike Ciesnolevicz,2009-06-20,0,0.38177526,2.62
The Ultimate Fighter: United States vs. United Kingdom Finale,Joe Stevenson vs. Nate Diaz,JoeStevenson,Joe Stevenson,2009-06-20,1,0.38533482,2.6
The Ultimate Fighter: United States vs. United Kingdom Finale,Joe Stevenson vs. Nate Diaz,NateDiaz,Nate Diaz,2009-06-20,0,0.60114515,1.66
The Ultimate Fighter: United States vs. United Kingdom Finale,Chris Lytle vs. Kevin Burns,ChrisLytle,Chris Lytle,2009-06-20,1,0.50178224,1.99
The Ultimate Fighter: United States vs. United Kingdom Finale,Chris Lytle vs. Kevin Burns,KevinBurns,Kevin Burns,2009-06-20,0,0.5123846,1.95
The Ultimate Fighter: United States vs. United Kingdom Finale,Diego Sanchez vs. Clay Guida,DiegoSanchez,Diego Sanchez,2009-06-20,1,0.54194534,1.85
The Ultimate Fighter: United States vs. United Kingdom Finale,Diego Sanchez vs. Clay Guida,ClayGuida,Clay Guida,2009-06-20,0,0.34466618,2.9
UFC 100,Georges St-Pierre vs. Thiago Alves,GeorgesSt-Pierre,Georges St-Pierre,2009-07-11,1,0.76151913,1.31
UFC 100,Georges St-Pierre vs. Thiago Alves,ThiagoAlves,Thiago Alves,2009-07-11,0,0.18465702,5.42
UFC 100,Mark Coleman vs. Stephan Bonnar,MarkColeman,Mark Coleman,2009-07-11,1,0.7740205,1.29
UFC 100,Mark Coleman vs. Stephan Bonnar,StephanBonnar,Stephan Bonnar,2009-07-11,0,0.35049394,2.85
UFC 100,Jon Jones vs. Jake O'Brien,JonJones,Jon Jones,2009-07-11,1,0.6023509,1.66
UFC 100,Jon Jones vs. Jake O'Brien,JakeO'Brien,Jake O'Brien,2009-07-11,0,0.28193548,3.55
UFC 100,Shannon Gugerty vs. Matt Grice,ShannonGugerty,Shannon Gugerty,2009-07-11,1,0.51777333,1.93
UFC 100,Shannon Gugerty vs. Matt Grice,MattGrice,Matt Grice,2009-07-11,0,0.39606944,2.52
UFC 100,Dong Hyun Kim vs. TJ Grant,DongHyunKim,Dong Hyun Kim,2009-07-11,1,0.45590845,2.19
