DATE,EVENT,BOUT,FIGHTER,prob_norm,odds
2024-03-16,UFC Fight Night: Tuivasa vs. Tybura,Ovince Saint Preux vs. Kennedy Nzechukwu,Ovince Saint Preux,0.17858980177434391,460
2024-03-16,UFC Fight Night: Tuivasa vs. Tybura,Ovince Saint Preux vs. Kennedy Nzechukwu,Kennedy Nzechukwu,0.821410198225656,-460
2024-05-04,UFC 301: Pantoja vs. Erceg,Paul Craig vs. Caio Borralho,Paul Craig,0.25248157172058044,296
2024-05-04,UFC 301: Pantoja vs. Erceg,Paul Craig vs. Caio Borralho,Caio Borralho,0.7475184282794195,-296
2024-03-23,UFC Fight Night: Ribas vs. Namajunas,Payton Talbott vs. Cameron Saaiman,Payton Talbott,0.46262630908522545,116
2024-03-23,UFC Fight Night: Ribas vs. Namajunas,Payton Talbott vs. Cameron Saaiman,Cameron Saaiman,0.5373736909147745,-116
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Payton Talbott vs. Yanis Ghemmouri,Payton Talbott,0.7677022343473939,-330
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Payton Talbott vs. Yanis Ghemmouri,Yanis Ghemmouri,0.2322977656526061,330
2024-03-09,UFC 299: O'Malley vs. Vera 2,Pedro Munhoz vs. Kyler Phillips,Pedro Munhoz,0.22208700183561922,350
2024-03-09,UFC 299: O'Malley vs. Vera 2,Pedro Munhoz vs. Kyler Phillips,Kyler Phillips,0.7779129981643808,-350
2024-03-09,UFC 299: O'Malley vs. Vera 2,Petr Yan vs. Song Yadong,Petr Yan,0.357491455832761,180
2024-03-09,UFC 299: O'Malley vs. Vera 2,Petr Yan vs. Song Yadong,Song Yadong,0.642508544167239,-180
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Phil Hawes vs. Brunno Ferreira,Phil Hawes,0.5985037424286819,-149
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Phil Hawes vs. Brunno Ferreira,Brunno Ferreira,0.4014962575713181,149
2024-06-01,UFC 302: Makhachev vs. Poirier,Phil Rowe vs. Jake Matthews,Phil Rowe,0.451628578431373,121
2024-06-01,UFC 302: Makhachev vs. Poirier,Phil Rowe vs. Jake Matthews,Jake Matthews,0.5483714215686271,-121
2024-06-01,UFC 302: Makhachev vs. Poirier,Randy Brown vs. Elizeu Zaleski dos Santos,Randy Brown,0.5902357798928946,-144
2024-06-01,UFC 302: Makhachev vs. Poirier,Randy Brown vs. Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,0.40976422010710556,144
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Randy Brown vs. Muslim Salikhov,Randy Brown,0.676522828579479,-209
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Randy Brown vs. Muslim Salikhov,Muslim Salikhov,0.32347717142052096,209
2024-04-27,UFC Fight Night: Nicolau vs. Perez,Rani Yahya vs. Victor Henry,Rani Yahya,0.4567879744332411,119
2024-04-27,UFC Fight Night: Nicolau vs. Perez,Rani Yahya vs. Victor Henry,Victor Henry,0.5432120255667587,-119
2024-06-08,UFC Fight Night: Cannonier vs. Imavov,Raul Rosas Jr. vs. Ricky Turcios,Raul Rosas Jr.,0.7252823393764544,-264
2024-06-08,UFC Fight Night: Cannonier vs. Imavov,Raul Rosas Jr. vs. Ricky Turcios,Ricky Turcios,0.2747176606235457,264
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Renato Moicano vs. Drew Dober,Renato Moicano,0.5048448352369708,-102
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Renato Moicano vs. Drew Dober,Drew Dober,0.4951551647630293,102
2024-03-23,UFC Fight Night: Ribas vs. Namajunas,Ricardo Ramos vs. Julian Erosa,Ricardo Ramos,0.5819908037807294,-139
2024-03-23,UFC Fight Night: Ribas vs. Namajunas,Ricardo Ramos vs. Julian Erosa,Julian Erosa,0.4180091962192706,139
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Ricky Simon vs. Mario Bautista,Ricky Simon,0.5337296815450857,-114
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Ricky Simon vs. Mario Bautista,Mario Bautista,0.4662703184549144,114
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Ricky Simon vs. Vinicius Oliveira,Ricky Simon,0.5543322962236427,-124
2024-06-29,UFC 303: Pereira vs. Prochazka 2,Ricky Simon vs. Vinicius Oliveira,Vinicius Oliveira,0.4456677037763574,124
2024-06-22,UFC Fight Night: Whittaker vs. Aliskerov,Rinat Fakhretdinov vs. Nicolas Dalby,Rinat Fakhretdinov,0.6664651978312272,-200
2024-06-22,UFC Fight Night: Whittaker vs. Aliskerov,Rinat Fakhretdinov vs. Nicolas Dalby,Nicolas Dalby,0.3335348021687729,200
2024-06-22,UFC Fight Night: Whittaker vs. Aliskerov,Robert Whittaker vs. Ikram Aliskerov,Robert Whittaker,0.6593367719817442,-194
2024-06-22,UFC Fight Night: Whittaker vs. Aliskerov,Robert Whittaker vs. Ikram Aliskerov,Ikram Aliskerov,0.3406632280182558,194
2024-02-17,UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Robert Whittaker,0.6945018467046858,-227
2024-02-17,UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Paulo Costa,0.3054981532953141,227
2024-02-10,UFC Fight Night: Hermansson vs. Pyfer,Rodolfo Vieira vs. Armen Petrosyan,Rodolfo Vieira,0.359732641352874,178
2024-02-10,UFC Fight Night: Hermansson vs. Pyfer,Rodolfo Vieira vs. Armen Petrosyan,Armen Petrosyan,0.6402673586471259,-178
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Roman Dolidze vs. Nassourdine Imavov,Roman Dolidze,0.4261699001145155,135
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Roman Dolidze vs. Nassourdine Imavov,Nassourdine Imavov,0.5738300998854844,-135
2024-04-27,UFC Fight Night: Nicolau vs. Perez,Ryan Spann vs. Bogdan Guskov,Ryan Spann,0.5758538745614998,-136
2024-04-27,UFC Fight Night: Nicolau vs. Perez,Ryan Spann vs. Bogdan Guskov,Bogdan Guskov,0.4241461254385001,136
2024-03-09,UFC 299: O'Malley vs. Vera 2,Sean O'Malley vs. Marlon Vera,Sean O'Malley,0.6287124543892084,-169
2024-03-09,UFC 299: O'Malley vs. Vera 2,Sean O'Malley vs. Marlon Vera,Marlon Vera,0.3712875456107917,169
2024-01-20,UFC 297: Strickland vs. Du Plessis,Sean Strickland vs. Dricus Du Plessis,Sean Strickland,0.4895593098969467,104
2024-01-20,UFC 297: Strickland vs. Du Plessis,Sean Strickland vs. Dricus Du Plessis,Dricus Du Plessis,0.5104406901030534,-104
2024-06-01,UFC 302: Makhachev vs. Poirier,Sean Strickland vs. Paulo Costa,Sean Strickland,0.7808584617988354,-356
2024-06-01,UFC 302: Makhachev vs. Poirier,Sean Strickland vs. Paulo Costa,Paulo Costa,0.21914153820116458,356
2024-06-22,UFC Fight Night: Whittaker vs. Aliskerov,Sergei Pavlovich vs. Alexander Volkov,Sergei Pavlovich,0.5690207017353045,-132
2024-06-22,UFC Fight Night: Whittaker vs. Aliskerov,Sergei Pavlovich vs. Alexander Volkov,Alexander Volkov,0.4309792982646955,132
2024-04-13,UFC 300: Pereira vs. Hill,Sodiq Yusuff vs. Diego Lopes,Sodiq Yusuff,0.6101508256055126,-157
2024-04-13,UFC 300: Pereira vs. Hill,Sodiq Yusuff vs. Diego Lopes,Diego Lopes,0.38984917439448746,157
2024-03-16,UFC Fight Night: Tuivasa vs. Tybura,Tai Tuivasa vs. Marcin Tybura,Tai Tuivasa,0.40444284767893157,147
2024-03-16,UFC Fight Night: Tuivasa vs. Tybura,Tai Tuivasa vs. Marcin Tybura,Marcin Tybura,0.5955571523210685,-147
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney vs. Esteban Ribovics,Terrance McKinney,0.5870405045366204,-142
2024-05-11,UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney vs. Esteban Ribovics,Esteban Ribovics,0.41295949546337957,142
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Themba Gorimbo vs. Pete Rodriguez,Themba Gorimbo,0.6042498774823708,-153
2024-02-03,UFC Fight Night: Dolidze vs. Imavov,Themba Gorimbo vs. Pete Rodriguez,Pete Rodriguez,0.3957501225176292,153
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo vs. Ramiz Brahimaj,Themba Gorimbo,0.6562246954601006,-191
2024-05-18,UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo vs. Ramiz Brahimaj,Ramiz Brahimaj,0.3437753045398993,191
2024-06-08,UFC Fight Night: Cannonier vs. Imavov,Thiago Moises vs. Ludovit Klein,Thiago Moises,0.3014299831137345,232
2024-06-08,UFC Fight Night: Cannonier vs. Imavov,Thiago Moises vs. Ludovit Klein,Ludovit Klein,0.6985700168862655,-232
